id;title;top_content;content;bottom_content;prop_title_mapping_jason;data_source_mapping_type;target_urls
1;doting;apropos;although;educated er until;prestigious cow lest;BOOKING_INFORMATION;loosely
2;dismal;following outside;pertain playfully judgementally;austere finally;even upliftingly untidy;COMPLETED_ORDER;buzzing
3;intent rule;who;under before off;thankfully shabby;burdensome although;COMPLETED_ORDER;glider
4;idealistic;alert;that pneumonia fidget;hopelessly fray;finally perfumed;BOOKING_INFORMATION;hope
5;loyally overdue;because alert information;tut daily;furthermore as;cleverly ack;BOOKING_INFORMATION;where galvanize
6;gallivant;footrest front;annually;yet spork;whoever muted clamp;COMPLETED_ORDER;tapioca
7;beside fortunate daily;armchair;put officially railway;kettledrum;er commandeer;COMPLETED_ORDER;chunder oof finger
8;ack;coarse;imaginary;staid unless;imagineer yippee;COMPLETED_ORDER;mmm off collaborate
9;impact showy;soap creative valiantly;aw about;midst if;rawhide vacation;COMPLETED_ORDER;so fully nor
10;during;oof;gracious peninsula;when;tank qua versus;BOOKING_INFORMATION;whoever meager
