id;title;top_content;content;bottom_content;prop_title_mapping_jason;data_source_mapping_type;target_urls
1;yuck astride gah;warp wetly;lift flood why;awkwardly warmly;pessimistic whenever following;BOOKING_INFORMATION;buzzing clearly madly
2;normal happy sense;strong aha enrich;secularize shakily;forager blah captain;round entrench upside-down;BOOKING_INFORMATION;solace
3;creaking daily;aha wherever acclaimed;frankly;er;gladly;BOOKING_INFORMATION;opposite
4;embed dissemble;handover unnaturally always;corral;continually warmly respectful;incidentally;BOOKING_INFORMATION;or ack
5;worth;excepting scamper incidentally;yet lest;conservation salty crossly;contrail;COMPLETED_ORDER;um relaunch plump
6;around slap circa;alongside;wire apropos;lovely;cinder cheetah;BOOKING_INFORMATION;seemingly
7;forearm till;puritan;besides;atop um;gently boohoo;COMPLETED_ORDER;sedately for judicious
8;zowie till remark;every;zowie recede afraid;fiercely serenade;because waist astride;BOOKING_INFORMATION;from physically drain
9;gee gleefully without;before accurate;whenever;consequently;valuable;COMPLETED_ORDER;now represent
10;off telescope;suspension zowie;as sniff though;colon exempt;waver notarize;BOOKING_INFORMATION;license
